책이름,저자,출판사,출간일,가격
혼자 공부하는 파이썬,윤인성,한빛미디어,2022년 06월,"19,800"
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,"23,400"
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월,"16,920"
파이썬 텍스트 코딩 워크북,정재웅,삼양미디어,2022년 05월,"4,500"
만들면서 배우는 파이썬과 40개의 작품들,장문철,앤써북,2022년 02월,"16,920"
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2023년 06월,"19,800"
비전공자도 이해할 수 있는 AI 지식,박상길,반니,2023년 04월,"17,820"
비전공자도 이해할 수 있는 AI 지식,박상길,반니,2022년 03월,"17,820"
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,나동빈,한빛미디어,2020년 08월,"30,600"
코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,2023년 02월,"21,600"
밑바닥부터 시작하는 딥러닝 ,사이토 고키,한빛미디어,2017년 01월,"21,600"
혼자 공부하는 데이터 분석 with 파이썬,박해선,한빛미디어,2023년 01월,"23,400"
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2022년 04월,"36,000"
두근두근 파이썬,천인국,생능출판사,2023년 01월,"25,000"
모두의 데이터 분석 with 파이썬,송석리,길벗,2019년 04월,"16,200"
모두의 딥러닝,조태호,길벗,2022년 03월,"21,600"
트랜스포머를 활용한 자연어 처리,루이스 턴스톨,한빛미디어,2022년 11월,"35,100"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,2022년 05월,"21,600"
핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,2020년 05월,"49,500"
난생처음 파이썬 프로그래밍,우재남,한빛아카데미,2021년 06월,"24,000"
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱,2020년 07월,"19,800"
Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020년 04월,"12,600"
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,2019년 05월,"26,100"
파이썬 알고리즘 인터뷰,박상길,책만,2020년 07월,"34,200"
파이썬 for Beginner,우재남,한빛아카데미,2022년 01월,"25,000"
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,"22,500"
Do it! 게임 10개 만들며 배우는 파이썬,벤 포터,이지스퍼블리싱,2022년 12월,"19,800"
케라스 창시자에게 배우는 딥러닝 개정 2판,프랑소와 숄레,길벗,2022년 08월,"43,200"
Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관,이지스퍼블리싱,2022년 08월,"28,800"
개발자를 위한 머신러닝&딥러닝,로런스 모로니,한빛미디어,2022년 08월,"30,600"
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,2020년 11월,"34,200"
모두의 파이썬,이승찬,길벗,2018년 10월,"10,800"
파이썬 코딩 도장,남재윤,길벗,2023년 01월,"27,000"
파워 유저를 위한 파이썬 EXPRESS,천인국,생능출판사,2020년 11월,"30,000"
난생처음 컴퓨팅 사고 with 파이썬,김명호,한빛아카데미,2021년 01월,"23,000"
혼자 공부하는 첫 프로그래밍 with 파이썬 ,문현일,한빛미디어,2020년 06월,"15,300"
Must Have 머신러닝·딥러닝 문제해결 전략,신백균,골든래빗,2022년 04월,"34,200"
OpenCV-Python으로 배우는 영상처리 및 응용,정성환,생능출판사,2020년 11월,"35,000"
Do it! 점프 투 파이썬 라이브러리 예제 편,박응용,이지스퍼블리싱,2022년 05월,"23,400"
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,2021년 10월,"25,200"
FastAPI를 사용한 파이썬 웹 개발,압둘라지즈 압둘라지즈 아데시나,한빛미디어,2023년 03월,"18,000"
따라하며 배우는 파이썬과 데이터 과학,천인국,생능출판사,2020년 12월,"26,000"
모두의 인공지능 with 파이썬,이영호,길벗,2020년 12월,"19,800"
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러,한빛미디어,2022년 02월,"29,700"
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,2023년 05월,"35,100"
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카,길벗,2021년 03월,"39,600"
모두가 할 수 있는 앱 인벤터로 11개 인공지능 앱 만들기,박지숙,앤써북,2021년 06월,"13,050"
파이썬 클린 코드 2nd Edition,마리아노 아나야,터닝포인트,2022년 11월,"26,100"
모두가 할 수 있는 앱 인벤터로 11개 인공지능 앱 만들기,박지숙,앤써북,2023년 06월,"13,050"
나는 파이썬으로 머신러닝한다 1,최정원,씨마스,2022년 06월,"19,800"
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,2020년 07월,"18,000"
파이썬으로 만드는 인공지능,오일석,한빛아카데미,2021년 01월,"31,000"
실전 시계열 분석,에일린 닐슨,한빛미디어,2021년 04월,"34,200"
"파이썬 웹 프로그래밍, 기초편",김석훈,한빛미디어,2022년 11월,"23,400"
파이썬 코딩의 기술(개정2판),브렛 슬라킨,길벗,2020년 10월,"28,800"
파이썬 머신러닝 판다스 데이터 분석,오승환,정보문화사,2019년 06월,"22,500"
파이썬 한권으로 끝내기,데싸라면,시대고시기획 시대교육,2023년 06월,"26,100"
으뜸 파이썬,박동규,생능출판사,2020년 02월,"32,000"
선형대수와 통계학으로 배우는 머신러닝 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 01월,"33,750"
101가지 문제로 배우는 딥러닝 허깅페이스 트랜스포머 with 파이토치,조슈아 K. 케이지,루비페이퍼,2023년 08월,"23,400"
ROS2 혼자공부하는 로봇SW 직접 만들고 코딩하자,민형기,잇플ITPLE,2022년 09월,"24,570"
소문난 명강의 김기현의 딥러닝 부트캠프 with 파이토치,김기현,한빛미디어,2022년 08월,"34,200"
몬테카를로 시뮬레이션으로 배우는 확률통계 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2023년 03월,"29,700"
인공지능,천인국,인피니티북스,2023년 03월,"33,000"
파이썬 자료구조와 알고리즘 for Beginner,우재남,한빛아카데미,2021년 01월,"27,000"
데이터 분석가가 반드시 알아야 할 모든 것,황세웅,위키북스,2023년 01월,"34,200"
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,2019년 05월,"31,500"
똑똑한 파이썬,황재호,인포앤북,2021년 06월,"16,200"
새내기 파이썬,천인국,생능출판사,2022년 06월,"30,000"
데이터 과학 기반의 파이썬 빅데이터 분석,이지영,한빛아카데미,2020년 12월,"28,000"
업무에 바로 활용하는 SSS급 일잘러를 위한 파이썬과 40개의 작품들,장문철,앤써북,2022년 11월,"19,980"
파이썬 텍스트 마이닝 완벽 가이드,박상언,위키북스,2023년 02월,"27,000"
취업과 이직을 위한 프로그래머스 코딩 테스트 문제 풀이 전략 : 파이썬 편,김범수,길벗,2023년 02월,"36,000"
시간순삭 파이썬,천인국,생능북스,2022년 12월,"22,500"
소프트웨어 코딩 대회를 위한 파이썬 문제 풀이 100,이형우,길벗,2023년 01월,"18,000"
모두의 한국어 텍스트 분석 with 파이썬,박조은,길벗,2023년 05월,"24,300"
Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,2021년 01월,"16,200"
백엔드를 위한 Django REST Framework with 파이썬,권태형,영진닷컴,2022년 05월,"16,200"
Do it! 딥러닝 입문,박해선,이지스퍼블리싱,2019년 09월,"17,820"
데이터 과학을 위한 통계,피터 브루스,한빛미디어,2021년 05월,"30,600"
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철,앤써북,2023년 07월,"19,800"
자기주도 파이썬,한컴에듀케이션 알고리즘연구소,복두출판사,2022년 11월,"17,000"
파이썬 증권 데이터 분석 ,김황후,한빛미디어,2020년 07월,"28,800"
파이썬 한권으로 끝내기,데싸라면,시대고시기획 시대교육,2022년 06월,"24,300"
Let’s Get IT 파이썬 프로그래밍,안지혜,길벗,2021년 07월,"19,800"
Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용,이지스퍼블리싱,2021년 01월,"28,800"
파이썬과 엑셀로 시작하는 딥러닝,홍재권,정보문화사,2023년 07월,"22,500"
파이썬으로 배우는 게임 개발 입문편,히로세 츠요시,제이펍,2020년 10월,"25,200"
데이터 과학을 위한 파이썬 프로그래밍,최성철,한빛아카데미,2023년 01월,"30,000"
Hello Coding 한입에 쏙 파이썬,김왼손,한빛미디어,2018년 06월,"13,500"
한 권으로 끝내는 아두이노와 파이썬으로 52개 작품 만들기,장문철,앤써북,2022년 03월,"19,800"
"인공지능, 주식투자 좀 부탁해",곽경일,비제이퍼블릭(BJ퍼블릭),2023년 06월,"22,500"
파이토치 딥러닝 마스터,엘리 스티븐스,책만,2022년 06월,"31,500"
알고리즘 구현으로 배우는 선형대수 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 12월,"30,600"
Do it! 딥러닝 교과서,윤성진,이지스퍼블리싱,2021년 10월,"25,200"
6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현,생능출판사,2020년 12월,"25,200"
파이썬 딥러닝 텐서플로,오승환,정보문화사,2021년 06월,"24,300"
전문가를 위한 파이썬 ,루시아누 하말류,한빛미디어,2016년 08월,"49,500"
파이썬으로 웹 크롤러 만들기,라이언 미첼,한빛미디어,2019년 03월,"22,500"
파이썬을 이용한 비트코인 자동매매,조대표,파이스탁,2021년 03월,"24,300"
나만의 투자 전략으로 수익을 내는 비트코인 선물거래 자동매매 시스템 with 바이낸스,멀티코어,프리렉,2022년 12월,"25,200"
바이오파이썬으로 만나는 생물정보학,한주현,비제이퍼블릭(BJ퍼블릭),2019년 03월,"23,400"
웹 크롤링 & 데이터 분석 with 파이썬,장철원,인사이트(insight),2022년 01월,"18,000"
모두의 알고리즘 with 파이썬,이승찬,길벗,2017년 05월,"14,400"
CPython 파헤치기,앤서니 쇼,인사이트(insight),2022년 09월,"28,800"
코드업과 함께 하는 알고리즘 & 프로그래밍,배준호,삼양미디어,2023년 02월,"18,900"
쉽게 배우는 자료구조 with 파이썬,문병로,한빛아카데미,2022년 01월,"29,000"
"누구나 쉽게, 자료구조와 알고리즘 with 파이썬",김현정,길벗캠퍼스,2023년 01월,"28,000"
난생처음 데이터 분석 with 파이썬,김규석,한빛아카데미,2023년 07월,"26,000"
파이썬을 활용한 베이지안 통계,앨런 B. 다우니,한빛미디어,2023년 01월,"28,800"
두근두근 파이썬,천인국,생능출판사,2017년 01월,"24,000"
파이썬으로 만드는 나만의 게임,이수안,비제이퍼블릭(BJ퍼블릭),2022년 01월,"22,500"
딥러닝 EXPRESS,천인국,생능출판사,2021년 07월,"28,000"
데이터 과학을 위한 기초수학 with 파이썬,이병준,한빛아카데미,2021년 01월,"23,400"
파이썬 크래시 코스,에릭 마테스,한빛미디어,2023년 08월,"35,100"
어쩌다 데이터 분석 with 파이썬,김유지,한빛미디어,2022년 09월,"25,200"
Must Have 텐초의 파이토치 딥러닝 특강,이종민,골든래빗,2022년 08월,"27,000"
생활코딩 머신러닝 실습편 with 오렌지 3,이고잉,위키북스,2021년 07월,"13,500"
파이썬 코딩 도장,남재윤,길벗,2018년 11월,"22,500"
딥러닝을 위한 수학,로널드 크노이젤,제이펍,2022년 08월,"27,000"
Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,2018년 10월,"15,300"
판다스 인 액션,보리스 패스캐버,한빛미디어,2022년 09월,"34,200"
fastai와 파이토치가 만나 꽃피운 딥러닝,제러미 하워드,한빛미디어,2021년 08월,"39,600"
꼬리에 꼬리를 무는 인공지능 이야기 WITH 파이썬,김귀훈,이오북스,2023년 03월,"18,000"
Introduction to 파이썬,황재호,인포앤북,2021년 03월,"22,500"
Do it! 점프 투 장고,박응용,이지스퍼블리싱,2021년 01월,"17,820"
데이터사이언스를 위한 기초 수학 with 파이썬,박민서,길벗캠퍼스,2023년 01월,"27,000"
처음 시작하는 파이썬,빌 루바노빅,한빛미디어,2020년 08월,"32,400"
파이썬 플라스크 웹 앱 개발 입문,사토 마사키,AK(에이케이 커뮤니케이션즈),2023년 02월,"34,200"
파이토치로 배우는 자연어 처리,델립 라오,한빛미디어,2021년 06월,"23,400"
컴퓨팅 사고 with 파이썬,김현정,길벗캠퍼스,2022년 06월,"25,000"
클린 코드 이제는 파이썬이다 ,알 스웨이가트,책만,2022년 08월,"27,000"
파이썬 자동화 교과서,구지라 히코즈쿠에,제이펍,2022년 07월,"24,300"
머신러닝 딥러닝을 이용한 A.I. 자율주행 RC카 프로젝트 with 파이썬+아두이노,서민우,앤써북,2022년 05월,"16,200"
동시성 프로그래밍,다카노 유키,한빛미디어,2022년 04월,"30,600"
행동 데이터 분석,플로랑 뷔송,한빛미디어,2023년 05월,"30,600"
파이썬으로 살펴보는 아키텍처 패턴,해리 퍼시벌,한빛미디어,2021년 06월,"28,800"
파이썬으로 무인도 탈출하기,박정호,생능출판사,2019년 08월,"12,600"
11가지 핵심 예제로 파이썬 머신러닝 정복하기,정종호,삼양미디어,2023년 04월,"18,000"
파이썬 입문,황재호,인포앤북,2020년 06월,"22,500"
나는 파이썬으로 피지컬 컴퓨팅한다,최정원,씨마스,2022년 03월,"18,000"
Do it! 점프 투 플라스크,박응용,이지스퍼블리싱,2020년 11월,"17,820"
파이썬 데이터 분석 실무 테크닉 100,시모야마 테루마사,위키북스,2020년 07월,"23,400"
윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,2019년 10월,"14,400"
파이썬으로 배우는 음성인식,다카시마 료이치,비제이퍼블릭(BJ퍼블릭),2023년 01월,"24,300"
손에 잡히는 퀀트 투자 with 파이썬,GIL's LAB,위키북스,2022년 02월,"28,800"
머신러닝 디자인 패턴,발리아파 락슈마난,한빛미디어,2021년 11월,"34,200"
컴퓨팅 사고와 파이썬,김지연,한빛아카데미,2021년 05월,"24,000"
통계를 위한 파이썬 프로그래밍,김진성,가메출판사,2021년 09월,"22,500"
윤성우의 열혈 파이썬 기초편,윤성우,오렌지미디어,2018년 11월,"14,400"
파이썬 무작정 따라하기,서승희,길벗,2021년 12월,"14,400"
파이썬 마스터 3급,김상민,REXmedia(렉스미디어),2021년 12월,"16,200"
비전 시스템을 위한 딥러닝,모하메드 엘겐디,한빛미디어,2021년 12월,"34,200"
코드업과 함께 하는 파이썬&문제 해결,배준호,삼양미디어,2020년 11월,"14,400"
차근차근 실습하며 배우는 파이토치 딥러닝 프로그래밍,아카이시 마사노리,위키북스,2022년 08월,"28,800"
구글 코랩으로 배우는 인공지능 기술,아즈마 유키나가,AK(에이케이 커뮤니케이션즈),2022년 11월,"37,810"
이한영의 Django(장고) 입문,이한영,디지털북스,2023년 03월,"22,500"
이기적 파이썬마스터 2·3급 기본서,이민경,영진닷컴,2023년 07월,"19,800"
게임으로 배우는 파이썬,다나카 겐이치로,영진닷컴,2019년 03월,"15,300"
파이썬과 Qt6로 GUI 애플리케이션 만들기 5/e,마틴 피츠패트릭,에이콘출판사,2023년 03월,"40,500"
"라즈베리파이 피코, 마이크로파이썬을 만나다",허경용,제이펍,2022년 12월,"22,500"
파이썬을 이용한 딥러닝/강화학습 주식투자,퀀티랩,위키북스,2022년 03월,"27,000"
파이썬으로 코딩하는 물리,송오영,21세기사,2021년 03월,"26,100"
데이터 과학을 위한 파이썬 머신러닝,최성철,한빛아카데미,2022년 01월,"30,000"
처음 배우는 딥러닝 챗봇,조경래,한빛미디어,2020년 11월,"23,400"
Python을 이용한 개인화 추천 시스템,임일,도서출판청람(이수영),2022년 06월,"20,000"
핵심만 쏙쏙 파이썬,양숙희,연두에디션,2020년 02월,"19,000"
"코딩, 생각을 현실로",김미혜,인피니티북스,2022년 08월,"20,000"
AWS 기반 데이터 과학,크리스 프레글리,한빛미디어,2023년 04월,"39,600"
파이썬과 함께하는 생활 속의 통계학,안기수,생능,2022년 12월,"23,000"
컴퓨팅 기반 문제해결 with 파이썬,장은실,인피니티북스,2022년 01월,"20,000"
파이썬으로 쉽게 배우는 자료구조,최영규,생능출판사,2023년 06월,"29,000"
Do it! 데이터 과학자를 위한 실전 머신러닝,배기웅,이지스퍼블리싱,2023년 08월,"27,000"
나도 하는 파이썬 데이터 분석,김규석,한빛미디어,2023년 03월,"19,800"
이것이 데이터 분석이다 with 파이썬,윤기태,한빛미디어,2020년 02월,"25,200"
파이썬과 함께하는 자료구조의 이해,양성봉,생능출판사,2022년 11월,"28,000"
한국어 임베딩,이기창,에이콘출판사,2019년 09월,"31,500"
인공지능,천인국,인피니티북스,2020년 02월,"30,000"
파이썬 GUI 프로그래밍 쿡북 3/e,부르크하르트 메이어,에이콘출판사,2021년 09월,"31,500"
고성능 파이썬,미샤 고렐릭,한빛미디어,2021년 05월,"32,400"
파이썬 기반 금융 인공지능,이브 힐피시,한빛미디어,2022년 09월,"37,800"
"XAI, 설명 가능한 AI",오오쓰보 나오키,비제이퍼블릭(BJ퍼블릭),2022년 11월,"24,300"
파이썬으로 쉽게 풀어쓴 자료구조,최영규,생능출판사,2020년 02월,"27,000"
생활 속 예제로 배우는 생생 데이터 분석,조인석,한빛아카데미,2023년 01월,"23,000"
어서와 파이썬은 처음이지!,천인국,인피니티북스,2016년 08월,"29,000"
자바와 파이썬으로 만드는 빅데이터 시스템,황세규,제이펍,2023년 05월,"27,000"
초보자를 위한 파이썬 200제,장삼용,정보문화사,2017년 02월,"18,000"
"파이썬 웹 프로그래밍, 실전편 ",김석훈,한빛미디어,2019년 11월,"28,800"
암호화폐 자동매매 시스템 만들기 with 파이썬,정성문,로드북,2022년 03월,"31,500"
파이썬 라이브러리를 활용한 텍스트 분석,젠스 알브레히트,한빛미디어,2022년 10월,"31,500"
파이썬을 활용한 금융 분석 ,이브 힐피시,한빛미디어,2022년 03월,"40,500"
딥러닝 텐서플로 교과서,서지영,길벗,2021년 04월,"25,200"
"칼퇴하는 일잘러의 업무 스킬, 파이썬 업무 자동화",이태화,프리렉,2022년 12월,"22,500"
"안녕, 트랜스포머",이진기,에이콘출판사,2022년 07월,"21,600"
머신러닝을 위한 수학,이병준,한빛아카데미,2022년 12월,"28,000"
마이크로비트로 배우는 파이썬,서민우,앤써북,2020년 02월,"16,920"
데싸노트의 실전에서 통하는 머신러닝,권시현,골든래빗,2022년 07월,"30,600"
핵심만 요약한 통계와 머신러닝 파이썬 코드북,조정임,알고보니,2023년 04월,"28,800"
직장인을 위한 데이터 분석 실무 with 파이썬 (개정판),이형석,위키북스,2020년 11월,"25,200"
텐서플로 2와 머신러닝으로 시작하는 자연어 처리,전창욱,위키북스,2022년 03월,"32,400"
